Keyword,Average Likes,Overall Average Likes
자리,3.7012987012987013,4.511676396997498
노트북,3.7157894736842105,4.511676396997498
이용,6.926605504587156,4.511676396997498
발권,2.198019801980198,4.511676396997498
반납,9.26086956521739,4.511676396997498
